29,"General Trias","Cavite","Buenavista II Gen. Trias, Cavite, Cavite","Buenavista II Dental Clinic"
30,"Imus","Cavite","B2 L6 Hamilton Homes, Bucandala 3, Imus City, Cavite","My Smart Choice Multi Specialty and Lying - In Clinic"
31,"Cavite City","Cavite","474 Burgos Ave.Caridad, Cavite City, Cavite","Pauco Dental Clinic"
32,"Bahay Toro","Quezon","1001 Mindanao Avenue Barangay Bahay Toro, Quezon City, Quezon","Metro North Medical Center and Hospital"
33,"Cebu","Cebu City","J.Lorente St. Fuente Osmeña, Cebu City, Cebu City","Albarando & Laboga Dental Clinic"
34,"Malinao","Pasig","167 A. Luna Street Malinao, Pasig","ABD Dental Clinic"
35,"Cavite City","Cavite","0167 P. Burgos Avenue San Roque, Cavite City, Cavite","Samaniego Optical"
36,"Palanan","Makati","2444 Aurora corner Facundo Street Pasay City, Pasay","St. Clare's Medical Center"
37,"General Trias","Cavite","20 Governor Ferrer General Trias, Cavite, Cavite","Olimpo Dental Clinic"
38,"Cebu","Cebu City","PH 09 Jose Cecilio Borromeo Medical Center Suites Capitol Suites, Cebu City, Cebu City","Cebu Transplant Network"
39,"Tanza","Cavite","Antero Soriano Hwy, Amaya 1, Tanza, Cavite, Cavite","Tanza Family General Hospital"
40,"Trece Martires City","Cavite","Santusan Street Brgy. Manggahan, Gen. Trias, Cavite, Cavite","Korea-Philippines Friendship Hospital"
41,"San Isidro","Paranaque","7261 A. Bonifacio St. San Dionisio, Parañaque, Paranaque","Ana Lynn C. Santos D.M.D. Dental Clinic"
42,"Cavite City","Cavite","377 P. Burgos Ave. Caridad, Cavite City, Cavite, Cavite","Bautista Hospital"
43,"Tanza","Cavite","A. Soriano Highway, Sahod Ulan, Tanza, Cavite, Cavite","JNRAL Medical Clinic"
44,"Kawit","Cavite","Baranggay 4 Amaya Tanza, Cavite","HealthPro Pediatric and Medical Clinic"
45,"Kawit","Cavite","Room E Medical Arts Complex SDMC Bacoor Cavite, Cavite","Binakayan Hospital and Medical Center"
46,"San Lorenzo","Makati","Tamsui Avenue, Bayan Luma II, Imus City, Cavite","Makati Medical Center - Hall A Room No. 230"
47,"Fort Bonifacio","Taguig","1838 Dian Street Balanian Makati City, Makati","Medicard"
48,"General Mariano Alvarez","Cavite","Blk 4 Lot 52 Congressional Rd, General Mariano Alvarez, Cavite","Viado Dental Clinic"
49,"Cebu","Cebu City","Suite 309 Ma. Cristina Bldg., Fuente Osmena, Cebu City","Annabelle Dental Care Clinic"
50,"Noveleta","Cavite","Chavez Subd., Sta. Rosa I, Noveleta, Cavite","A. Morga Serdoncillo Dental Clinic"
51,"Dasmarinas City","Cavite","Congressional Ave., Pasong Lawin, Dasmariñas, Cavite","De La Salle University Medical Center"
52,"Cebu","Cebu City","120 F. Ramos St., Cebu City, Cebu City","Health Care Clinic"
53,"Bacoor","Cavite","2nd flloor Zapote Centre Zapote IV, Cavite","Ultimed Health Care & Diagnostic Clinic"
54,"Bacoor","Cavite","Digman Bacoor Cavite, Cavite","Ultimed Health Care & Diagnostic Clinic"
55,"Bacoor","Cavite","Ground Floor, Heritage Building, E. Aguinaldo Highway, Niog 2, Bacoor, Cavite","Ultimed Health Care & Diagnostic Clinic"
56,"Rosario","Cavite","Salcedo Noveleta, Cavite, Cavite","Our Savior Hospital"
57,"Mall of Asia","Pasay","822 A. Arnaiz Avenue San Lorenzo Village, Makati","Bites and Smiles Dental Clinic"
58,"Imus","Cavite","2F Unit 1 24 C Bucadala Imus City, Cavite","Ora Clean Dental Clinic Studio"
59,"Ugong","Pasig","Rm 509 Mati Bldg., The Medical City, Ortigas Ave. Ext, Pasig","Anna Lisa Yu - Mateo Clinic"
60,"Kawit","Cavite","622 Gen. Tirona Highway Binakayan, Kawit, Cavite, Cavite","Peralta-Feliciano Optical"
61,"Pamplona Tres","Las Pinas","No 1 Daisy St. Dona Manuela Subdivision Pamplona 3, Las Pinas City, Las Pinas","A. Abad Dental Clinic"
62,"San Lorenzo","Makati","3rd Floor Dusit Thani Hotel,, Ayala Centre, Makati","Smiles By Cecile"
63,"Talon Uno","Las Pinas","Unit C BCLR Building A. Soriano Highway barangay Daang Amaya III, Tanza, Cavite","Tooth Deluxe Dental Clinic"
64,"Dasmarinas City","Cavite","#366 Real Street Alabang - Zapote Road Talon 1, Las Pinas","Pari-an Your Tooth Fairy Dental Clinic"
65,"Trece Martires City","Cavite","2960 2nd Floor LPR Merchandise Trece-Tanza Rd. Brgy. San Agustin, Trece Martires City, Cavite, Cavite","Tooth Saver Dental Clinic"
66,"Santa Lucia","Pasig","Diamond St. cor. Felix Ave. CVS Homes I, Cainta, Pasig","Renew Medical Surgical Clinic"
67,"General Trias","Cavite","#28 Prinza St. Manggahan Gen. Trias, Cavite","Lujero Pediatric Clinic"
68,"Greenhills North","San Juan","2nd Floor, Unit 202 Missouri Square Building, 101 Missouri corner Connecticut St., Greenhills, San Juan","Cancio Chiropractic Center"
69,"Magallanes","Makati","Unit 2 3rd Floor Maga Building, Paseo De Magallanes Commercial Center, Magallanes, Makati","Manila Genitourinary Clinic"
70,"Bacoor","Cavite","Progressive Village 14 Corner Molino Road Barangay Molino 3 Bacoor, Cavite","Bautista - Aragon Optical Clinic"
71,"Tanza","Cavite","273 Barangay Tejero General Trias, Cavite","JNRAL Medical Clinic"
72,"Barangka Ilaya","Mandaluyong","2nd Floor, Bramant Piazza Renaissance Center, Meralco Avenue, Brgy Ugong, Pasig City, Metro Manila, Pasig","First Option Dental Corp."
73,"Cavite City","Cavite","941 H Bldg. Manila-Cavite Road Dalahican Cavite City, Cavite, Cavite","Hugo Dental Center"
74,"Dasmarinas City","Cavite","Mission Hospital, Km. 17 Ortigas Avenue Exit, Rosario,Pasig city, Pasig","Dasmariñas City Medical Center"
75,"Poblacion","Makati","Rm 2012 Centuria Medical Tower, Kalayaan Ave, Century City, Makati City 1200, Philippines, Makati","Enhancements Skin and Cosmetic Surgery"
76,"West Rembo","Makati","#23 A. MAbini Upper Plaza, West Rembo, Makati","A.B. Besmonte Dental Clinic"
77,"East Grace Park","Caloocan","271 LAS Building 2nd Floor Real Street Pamplona, Las Pinas","Dermabasics"
78,"East Grace Park","Caloocan","4/F Festival Mall, Corporate Avenue Corner Civic Drive, Muntinlupa City, Manila","Dermabasics"
79,"East Grace Park","Caloocan","LG/F SM City- North Edsa, Annex Building, North Avenue Corner EDSA, Quezon City, Caloocan","Dermabasics"
80,"Magallanes","Makati","3rd Floor, 2284 Allegro Center Pasong Tamo Ext,Makati City, Makati","Me And My Skin Facial Care And Cosmetic Surgery Center"
81,"Pasay City","Pasay","2360 VCS 2 Harison Mansion FB Harison Street Pasay City, Pasay","Arealnum Dental Care"
82,"Rosario","Cavite","178 Marseilla St. Rosario, Cavite, Cavite","Specialist Diagnostic Center"
83,"Greenhills North","San Juan","Dr. Donabelle Chua Dental Clinic, 209-A, Sunrise Condominium, 226 Ortigas Avenue, Greenhills, San Juan","D. Chua Dental Office"
84,"Bel-Air","Makati","4th Level Montivar Building 34 Jupiter corner Planet Streets, Bel-Air Village, Makati","Gerochi Dental and Implant Center"
85,"General Trias","Cavite","Tejero, General Trias, Cavite, Cavite","General Trias Maternity and Pediatric Hospital"
86,"Fairview","Quezon","Rec Bldg #12 Regalado Highway North Fairview, Q.C, Quezon","Perfect Bite Dental Clinic"
87,"Kawit","Cavite","204 Panamitan, Kawit, Cavite","Castillo Dental Clinic"
88,"Cebu","Cebu City","Gov. Roa St. Capitol Site, Cebu City, Cebu City","Candido M. Aviles Dental Clinic"
89,"BF Homes","Paranaque","136-A Armstrong Avenue, Phase 2, Brgy Moonwalk, Paranaque, Paranaque","Health Avenue Medical Services"
90,"Rosario","Pasig","155 Dr Sixto Antonio Avenue, Brgy Rosario, Pasig, Pasig","NVGOR Healthcare Center"
91,"Rosario","Cavite","General Trias, Cavite","WellPoint Medical Clinic and Diagnostic Center, Inc."
92,"Poblacion","Makati","Unit 313 Medical Towers Makati, Rufino Street. Legazpi Village, Makati City, Makati","Carlo Santos Dental Clinic"
93,"Poblacion","Makati","LEM Building 1699 Baler Street Santiago Village, Makati","Carlo Santos Dental Clinic"
94,"Fort Bonifacio","Taguig","Unit 2C 10, Level 2, Sector Q, District 1, Bonifacio Global City, Taguig","Renergy Derm Spa"
95,"Matandang Balara","Quezon","Lot 1 2nd flr M.Martinez Bldg Isidora Hills Holy Spirit Drive Don Antonio Heights, Quezon","Skin Benefits"
96,"Batangas City","Batangas","Mary Mediatrix Medical Center J.p Laurel Highway, Batangas","Mary Mediatrix Medical Center"
97,"Cavite City","Cavite","372 M. Gregorio St. San Antonio, Cavite City, Cavite","Enriquez Specialist Center"
98,"San Isidro","Makati","2924 Finlandia Street San Isidro Makati City, Makati","CSM Dental Clinic"
99,"Noveleta","Cavite","2nd Flr. Salud Bldg. San Rafael I, Noveleta, Cavite","Noveleta Healthcare Clinic"
100,"U.P. Village","Quezon","30  Maginhawa Street UP Village Diliman, Quezon","Genilo Dermasolutions"
101,"Bel-Air","Makati","120 Plaza Royale Building, LP Leviste Street, Makati","Skintology"
102,"Greenhills North","San Juan","3rd Floor Annapolis St. Promenade Mall, Greenhills Mall, San Juan","Skinlux Aesthetic Center"
103,"Grace Park West","Caloocan","8th Avenue Corner F. Roxas St Caloocan Metro Manila, Caloocan","Our Lady of Grace Hospital Inc"
104,"Rosario","Cavite","Gen. Trias Drive Rosario, Cavite, Cavite","Cecille Sosa Clinic"
105,"Rosario","Cavite","Km. 30 Gen. Trias Drive, Rosario, Cavite, Cavite","Serendipity Medical Services"
106,"Tondo","Manila","1417-B Richown Tower Mayhilgue street stan cruz, Manila","Healthwise Diagnostic Laboratory"
107,"Ermita","Manila","UN avenue corner Taft avenue Manila, 5th floor (Aventus Manila), Manila","Aventus Clinic"
108,"Noveleta","Cavite","Alapan IA St. Imus, Cavite, Cavite","Weiss Dental Clinic"
109,"Mariana","Quezon","2nd Flr. Maryland 1 Bldg., Gil Fernando Ave. cor. Estrador St. Midtow Subd., San roque, Marikina City, Marikina","Gonzales Skin Clinic"
110,"Mariana","Quezon","Ground Floor P & S Bldg 717 Aurora Blvd. New Manila, Quezon","Gonzales Skin Clinic"
111,"Cebu","Cebu City","Rm. 205 JC Borromeo Bldg.,, Capitol Site, Cebu City, Cebu City","Orbeta Dental Clinic"
112,"Bacoor","Cavite","220 Molino, Bacoor City, Cavite, Cavite","St. Michael Medical Hospital"
113,"Imus","Cavite","Ground Floor Service Court Area,The District Mall,Aguinaldo Highway Corner Daang Hari Road, Cavite","Dental Minds"
114,"Malate","Manila","3rd Floor 2510 E.A. Fernandez Building, Vito Cruz, Taft Avenue, Manila, Manila","Dynamic Dental Care Clinic"
115,"General Trias","Cavite","2/F LT Bldg, E. Aguinaldo Highway, San Agustin 1, Dasmarinas, Cavite, Cavite","Divine Grace Medical Center"
116,"Trece Martires City","Cavite","Brgy. Luciano Trece Martires City, Cavite","ERS Maternity & Pediatric Care Clinic"
117,"Quiapo","Manila","2395 R.V. Ponce St, Angeles, 2009 Pampanga, Philippines, Manila","Metro Angeles Dental Center"
118,"Dona Josefa","Quezon","1036, Delos Santos STI Medical Center 201 E. Rodriguez Avenue Quezon City, Quezon","De Los Santos Medical Center"
119,"Dasmarinas City","Cavite","Salawag Crossing, Brgy. Salawag, Dasmariñas City, Cavite, Cavite","Dasmariñas City Medical Center"
120,"Bacoor","Cavite","Unit F Medina Building Niog 2 Bacoor, Cavite, Cavite","Robles Moncayo Dental Clinic"
121,"Cebu","Cebu City","Rm 102 Dona Luisa Bldg., Fuente Osmena, Cebu City","Cesa Ortho - Dental Clinic"
122,"Bahay Toro","Quezon","Unit 3B, 3rd Floor.#30 Spicet Bldg. Visayas Ave. Cor. Congressional Avenue. (Above BDO Bank), Quezon","Compleat Smile Dental Aesthetic Centre"
123,"Quezon City","Metro Manila","Unit 404 West Trade Center Bldg. 132 West Ave. Quezon City, Quezon","metrodentclinics"
124,"Quezon City","Metro Manila","Quezon City, Metro Manila","metrodentclinics"
125,"San Lorenzo","Makati","#120, Amorsolo Street, Vernida I Building, Makati City, Makati","UNCC Makati"
126,"Ermita","Manila","Ground Floor Room. 102 San Luis Terraces 638 T. M. Kalaw Street., Ermita,Manila, Manila","Hi - Precision Diagnostics"
127,"Kawit","Cavite","Tirona Hi-Way, Balsahan, Binakayan, Kawit, Cavite, Cavite","Binakayan Hospital and Medical Center"
128,"Highway Hills","Mandaluyong","Unit R-16, California Garden Square, Libertad Street, Mandaluyong","MCR Medical Dental"
129,"General Trias","Cavite","Main Ground Floor Rosario Commercial Center Gen. Trias Drive Epza, Rosario, Cavite","General Trias Maternity and Pediatric Hospital"
130,"Bacoor","Cavite","2/F Unit 7 JEMCED Bldg., National Road, Molino 3, Bacoor, Cavite","Jose Mario M. Mercado Dental Clinic"
131,"Imus","Cavite","Unit B & C 108 Avenida Rizal Street Phase 3A Bahayang Pag-Asa, Espeleta 3, Imus City, Cavite","Garcia - Sumulong Dental Clinic"
132,"South Triangle","Quezon","Unit 103, Corporate 101 Building, Mother Ignacia, corner Sct. Madrinan, South Triangle, Quezon City, Quezon","Above Aesthetic Center"
133,"Bagumbayan","Quezon","8th Acropolis Center Unit 3 53 E. Rodriguez  Jr. Avenue Barangay Bagumbayan Quezon City, Quezon","Central Bark Pet Station and Grooming Services"
134,"Trece Martires City","Cavite","Trece-Indang Road, Brgy. Luciano Trece Martires City, Cavite, Cavite","Nonato Multispecialty Clinic and Diagnostic Center"
135,"Pasay City","Pasay","4189 Sall 6 Felimarc Pet Center, A Luna St. Pasay City, Pasay","Cruz Veterinary Clinic"
136,"Cavite City","Cavite","547 P. Burgos Ave., Caridad Cavite City, Cavite","Bulanhagui Optometric Clinic"
137,"North Signal Village","Taguig","Unit D-1, Crescent Park Residences, 30th St corner 2nd Ave, Taguig, 1634 Metro Manila, Taguig","Spinal Care Chiropractic Inc"
138,"Teachers' Village West","Quezon","2nd Floor, Unit F&G, 22 Malingap St., teacher's Village West, Diliman, Quezon","Lantin Dental Clinic"
139,"Cavite City","Cavite","519 P. Burgos Ave, Caridad, Cavite City, Cavite","Udasco Clinic"
140,"Greenhills North","San Juan","Unit 417 A 4th Floor V-Mall Greenhills Shopping Center San Juan City, San Juan","Roman Dental Clinic"
141,"Talon Dos","Las Pinas","SM Center, Las Piñas, Las Pinas","Ihealth Clinic"
142,"Wack-Wack Greenhills","Mandaluyong","Unit 114 Grand Emerald Tower G/F Garnet Road Ortigas Pasig, Mandaluyong","Wisdom Tooth Dental Avenue and Company"
143,"Trece Martires City","Cavite","852 P. Burgos Avenue San Roque Cavite City, Cavite","Korea-Philippines Friendship Hospital"
144,"Greenhills North","San Juan","Unit 38, 2nd Floor, Bridgeway Shops, Greenhills Shopping Center, San Juan City, San Juan","Dennis Vazquez Dental Clinic"
145,"Talon Tres","Las Pinas","Room 204 Emilia Building 385 Alabang-Zapote Road Talon 1, Las Pinas","D.C. Lorenzo Dental Clinic"
146,"Don Bosco","Paranaque","21 Ground Floor MSA Building, Times Street Madrigal Park 2 Alabang, Muntinlupa","DR Pena Dental Home I & II Clinic"
147,"Don Bosco","Paranaque","139 Saudi Arabia Street Betterliving Subdivision, Paranaque","DR Pena Dental Home I & II Clinic"
148,"Cebu","Cebu City","203 A Ma. Cristina Bldg., Osmena Blvd, Cebu City","Didee B. Cruz General Dentistry/Orthodontics"
149,"Rosario","Cavite","Contreras Medical Clinic & Hospital Gen. Trias Drive, Rosario 4106, Gen. Trias Dr, Rosario, Cavite, Cavite","E. Contreras Medical Clinic"
150,"Laging Handa","Quezon","Unit 5, 2/F Golden Victoria Building, 103 Tomas Morato, cor. Sct. Limbaga St., Quezon City 1103, Quezon","Avant Dental Solutions"
151,"Sampaloc","Manila","934 P. Paredes Street, Sampaloc, Manila, Manila","Tajonera Dental Center"
152,"San Antonio Village","Makati","RS105, Joya South, Estrella St. Rockwell Center, Pasig","Makati Medical Center - Hall A Room No. 333A"
153,"Pasay City","Pasay","Cartimar Avenue, K I Cartimar Market, Pasay City, 1300, Metro Manila,Pasay City, Pasay","Optical Clinic"
154,"Malamig","Mandaluyong","641 B. Boni Avenue Mandaluyong City, Mandaluyong","Cabalu Dental Clinic"
155,"Cebu","Cebu City","654 Along D. Jakosalem St., Cebu City, Cebu City","JIP Dental Clinic"
156,"Fairview","Quezon","957 Quirino Highway Cor Sarmento Street, Quezon City, Quezon","Far Eastern University Nicanor Reyes Medical Foundation Medical Center"
157,"Novaliches","Caloocan","Regalado Hwy, Novaliches, Quezon City, Metro Manila, Philippines, Caloocan","Commonwealth Hospital and Medical Center"
158,"Ermita","Manila","Regalado Ave Novaliches, Quezon City Philippines, Quezon","Multi Specialty Clinic"
159,"Pembo","Makati","Ospital Ng Makati, Sampaguita Street, Makati City,Makati City, Makati","Ospital ng Makati"
160,"Bel-Air","Makati","15th Floor Gt Tower, Ayala Avenue, Corner H.V. Dela Costa Street, Salcedo Village, Makati","Facial Care Centre"
161,"Greenhills North","San Juan","10 Wilson Street, Green Hills, San Juan, 1500 Metro Manila, San Juan","Cardinal Santos Medical Center - Room No. 224"
162,"Pinyahan","Quezon","East Avenue Diliman 1101 Quezon City, Quezon","National Kidney and Transplant Institute"
163,"San Lorenzo","Makati","Unit 401, 4th Floor, National Life Insurance Bldg., 6762 Ayala Ave,Makati City, Makati","Dentpro"
164,"Pag-Asa","Mandaluyong","No. 123, Rte Rev. G. Aglipay Street,Mandaluyong City, Mandaluyong","AC Lim Polyclinic"
165,"Paco","Manila","1537 - C Pedro Gil St. Paco, Manila","Ricerra Dental Place"
166,"Paco","Manila","1537-C Pedro Gil St. Paco, Manila","Ricerra Dental Place"
167,"San Lorenzo","Makati","Medical Towers Makati, Herrera Street, Corner Omaza Street, Legaspi Village, Makati City,Makati City, Makati","Abegayle Machelle P Chua MD"
168,"Imus","Cavite","Jumalia Bldg., Don Placido Campos Avenue, Dasmariñas, Cavite","Depano Dental Implant Clinic"
169,"Imus","Cavite","Unit 29 2nd Floor 99 Millenium Building Palico IV Aguinaldo Hi-way Imus, Cavite","Depano Dental Implant Clinic"
170,"Loyola Heights","Quezon","335 Agcor Building, Katipunan Avenue, Quezon","AVC Comprehensive Skin Centre"
171,"Laging Handa","Quezon","Scout Rallos,Quezon City, Quezon","Novel Dental Clinic"
172,"Pandacan","Manila","2197 Taft Avenue,Pasay City, Manila","Abello Assuncion G Clinics"
173,"Santa Cruz","Manila","Lg/L SM San Lazaro, Felix Huertas St. Corner, A.H. Lacson, Sta.Cruz, Manila","White House Optical Dental Clinic"
174,"Kapitolyo","Pasig","Lower Ground, 68 Cityland Pioneer, Pioneer Street,Mandaluyong City, Pasig","Dr Abey Gordon"
175,"Cembo","Makati","39, Acacia Street, Fort Bonifacio, Makati City, 1201, Metro Manila,Makati City, Makati","Yongoyong Pediatric Clinic"
176,"Moonwalk","Paranaque","Ground Floor Esplana Building Armstrong Avenue Moonwalk, Paranaque","Abigail Africa Dental Clinic"
177,"Greenhills North","San Juan","2/L Unit 78 Shoppesville Arcade, Greenhills Shopping Center, Ortigas Avenue, Greenhills, San Juan City, San Juan","Skin Care Rx"
178,"Tondo","Manila","1203 Masankay Street Sta. Cruz Manila, Manila","Skin Care Rx"
179,"Olympia","Makati","100 M.Almeda Streeth Pateros, Makati","Caluya Dental Clinic"
180,"Urdaneta","Makati","Mandarin Oriental Hotel, Makati","HP Villareal Dental Clinics"
181,"Consolacion","Cebu City","2nd Floor, Alivio Building, Central Nautical Hwy, Cansaga, Consolacion City, 6001 Cebu, Cebu City","Gochuico Dental Clinic"
182,"Pasay City","Pasay","40 Cementina Extension Street, 1300, Metro Manila,Pasay City, Pasay","Gawaran Medical Clinic"
183,"Bacoor","Cavite","RFC Mall Molino 2 Bacoor, Cavite, Cavite","Dorotheo Dental and Diagnostic Center"
184,"Marikina Heights","Marikina","Date Palm Street, Marikina","Rafon Dental Clinic"
185,"Quezon City","Metro Manila","JP Rizal Corner P.  Tuazon Street., Katipunan Avenue, Project 4, Quezon","University of the East Ramon Magsaysay Memorial Medical Center"
186,"San Lorenzo","Makati","Unit 1012 10th Floor Medical Plaza Makati City, Makati","Naguit - Escurel Ortho - Implant Dental Center"
187,"San Lorenzo","Makati","Unit 911 9 Flr. Medical PLaza Makati, Amorsolo cor. Dela Rosa St., Legaspi Village Makati City, Makati","Naguit - Escurel Ortho - Implant Dental Center"
188,"Ermita","Manila","The Fourth Floor, San Luis Terraces,Ermita City, Manila","First Medical Team Healthcare Specialist Group Inc"
189,"San Lorenzo","Makati","605 Boni Avenue,Mandaluyong City, Mandaluyong","Healthway Clinic"
190,"Santa Elena","Marikina","#5 Alicante Tower Marquinton Residences Sto.niño , Sumulong Highway, Marikina","Alphacell wound clinic"
191,"Wack-Wack Greenhills","Mandaluyong","Clinica Manila, Doña Julia Vargas Avenue,Mandaluyong City, Mandaluyong","Achelle C Ronquillo MdClinica"
192,"Batangas City","Batangas","P. Aguila Street Cuta Batangas, Batangas","Acosta Dental Clinic"
193,"Maybunga","Pasig","4th Floor, West Tower Philippine Stock Exchange Centre, Exchange Road, Ortigas Center,Pasig city, Pasig","Efondo Pediatric Clinic"
194,"Plainview","Mandaluyong","85 Sgt. Bumatay Street,Mandaluyong City, Mandaluyong","Ramos Medical Clinic"
195,"South Triangle","Quezon","305 Tomas Morato Corner Scout Madrinan, Barangay S, Quezon","Denstein Dental Center"
196,"Imus","Cavite","Nuevo Avenue Imus, Cavite, Cavite","Clinics Dental Center"
197,"Imus","Cavite","2nd floor District Ayala Mall, Imus Cavite, Cavite","Clinics Dental Center"
198,"Paraiso","Quezon","147 b Roosevelt Avenue, Barangay Paraiso, San Francisco Del Monte, Quezon City, Quezon","Ang  Serafico Medical Clinic"
199,"Paraiso","Quezon","Roosevelt Ave San Francisco del Monte, Quezon City Metro Manila, Quezon","Pets and Vets Animal Clinic"
200,"Bacoor","Cavite","GSIS Road Molino III Bacoor, Cavite","Hizon Dental Clinic"
201,"Cebu","Cebu City","Ground Floor, Muntuerto Bldg., J. Lorente St., Capitol Site, Cebu City, Cebu City","Doctors Clinic"
202,"Sampaloc","Manila","308 Luzon Avenue Diliman, Manila","A. Ricohermoso Medical and Dental Clinic"
203,"Intramuros","Manila","San Jose Intramuros, Manila, Manila","Seaman's Hospital"
204,"Cebu","Cebu City","2/F Antigua Bldg, B. Aranas Cod. T. Abolla, Cebu City, Cebu City","Yuson Dental Clinic"
205,"South Triangle","Quezon","Mezzanine Floor, LL Bldg.,160 Panay Ave. cor. EDSA,Quezon City, Quezon","Afar Dental Clinic"
206,"Milagrosa","Quezon","131 Benhel Mansion A Bonifacio Ave., Barangka, Marikina City, Marikina","Quirino Memorial Medical Center"
207,"Tañong","Marikina","Riverbanks Arcade, A. Bonifacio Street, Barangka, Marikina","Adelina Flores Dental Clinic"
208,"Addition Hills","Mandaluyong","Block 40 Lot 21, F. Martines Avenue, Welfareville Compound, Barangay Additionhills,Mandaluyong City, Mandaluyong","Dr Adelina Orine"
209,"San Andres Bukid","Manila","1142 2nd floor Erisha Condo, Dian St. cor Pablo Ocampo sr. Ave. (Vito Cruz) Malate Manila 1004, Manila","ARR Orthodental Clinic"
210,"San Lorenzo","Makati","Suites 1001-1002, Medical Plaza Building, Amorsolo Street, Corner Dela Rosa Street, Legazpi Village, Makati City, 1222, Metro Manila,Makati City, Makati","A.T. Reyes Center for Dermatology and Laser Surgery, Inc."
211,"East Rembo","Makati","383 J.P. Rizal Street, Makati","Merly's Beauty Skin Care"
212,"Highway Hills","Mandaluyong","Level 2 Soho Central 748 Shaw Blvd Corner Mayflower St., Greenfield District, Mandaluyong, Mandaluyong","Health First"
213,"San Dionisio","Paranaque","2772, San Juan De Dios Hospital, Roxas Boulevard,Pasay City, Pasay","The Premier Medical Center"
214,"Forbes Park","Makati","#505, Vrmpc Building, Physicians Center, 163, Edsa,Mandaluyong City, Mandaluyong","Makati Medical Center"
215,"Plainview","Mandaluyong","Mandaluyong City Medical Center, 605 Boni Avenue,Mandaluyong City, Mandaluyong","Amazing Aqua"
216,"Highway Hills","Mandaluyong","Room 503, Physicians Center 0010, V.R. Potenciano Medical Center,Mandaluyong City, Mandaluyong","Adolfo B Bormate Jr"
